child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,testlang_lang,raw_lang,perco_lang,testlang_math,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,numante,literate_r2,levlwrit_r2,levlread_r2,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,entype_r4,timesch_r4,childloc_r4,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,rural_3,IMTI,E_is
11001,Male,Amhara,Amharic,7,1,7,Amharic,182,7,Amharic,Amharic,16,66.66666412353516,Amharic,17,60.71428680419922,Amharic,1,-1.97,-0.56,-2.66,0,0,1,12,24,2,1,0,0,NA,1,3,4,1,5,0.6166666746139526,0.3499999940395355,1,0.5,1,1,1,1,0,0,NA,NA,1,NA,NA,NA,Addis Ababa,11,11,11,11,12,NA,NA,NA,NA,NA,0,6,0.75
11002,Male,Oromo,Amharic,7,1,6,Amharic,181,8,Amharic,Amharic,15,62.5,Amharic,18,64.28571319580078,Amharic,1,-0.72,-1.23,0.08,0,0,0,12,35,2,1,0,0,NA,1,3,4,1,4,0.7472222447395325,0.5416666865348816,1,0.699999988079071,1,1,1,1,0,0,1,5,1,NA,NA,NA,Addis Ababa,13,13,13,13,12,NA,NA,NA,NA,NA,0,0,0
11003,Female,Amhara,Amharic,7,0,6,Amharic,156,9,Amharic,Amharic,18,75,Amharic,23,82.14286041259766,Amharic,1,-1.17,-1.71,-0.19,0,0,0,12,36,2,1,0,1,NA,1,3,4,1,6,0.6851851940155029,0.5555555820465088,1,0.5,1,1,1,1,0,1,4,10,1,8,1,13,Addis Ababa,14,14,14,14,12,1,1,NA,1,NA,0,6,0.75
11004,Male,Amhara,Amharic,7,1,6,Amharic,175,2,English,Amharic,18,75,English,20,71.42857360839844,Amharic,1,NA,NA,NA,NA,NA,NA,6,40,2,1,0,0,NA,1,3,4,1,7,0.7571428418159485,0.5714285969734192,1,0.699999988079071,1,1,1,1,0,0,NA,NA,1,8,1,9,Addis Ababa,9,9,9,9,6,1,NA,1,NA,1,0,6,0.75
11006,Female,Amhara,Amharic,2,1,7,Amharic,181,13,Amharic,Amharic,20,83.33333587646484,Amharic,17,60.71428680419922,Amharic,1,-0.67,-0.29,-0.76,0,0,0,7,28,2,1,0,0,NA,1,3,4,1,5,0.7333333492279053,0.6000000238418579,1,0.6000000238418579,1,1,1,1,0,0,1,10,1,0,NA,NA,Addis Ababa,14,14,14,14,7,0,0,0,0,0,0,6,0.75
11007,Female,Gurage,Amharic,7,1,7,Amharic,189,12,Amharic,Amharic,17,70.83333587646484,Amharic,24,85.71428680419922,Amharic,1,-1.1300000000000001,-0.29,-1.48,0,0,0,8,38,2,4,0,0,NA,1,3,4,1,3,0.7055555582046509,0.6666666865348816,0.75,0.699999988079071,1,1,1,0,0,0,1,30,1,0,NA,NA,Addis Ababa,14,14,14,14,8,0,0,0,0,0,0,0,0
11008,Female,Tigrian,Amharic,7,1,8,Amharic,173,8,Amharic,Amharic,21,87.5,Amharic,21,75,Amharic,1,-2.84,-2.27,-1.95,1,1,0,0,34,2,1,1,0,NA,1,3,4,1,8,0.5138888955116272,0.2916666567325592,0.75,0.5,1,1,1,0,0,0,4,30,1,0,NA,NA,Addis Ababa,11,14,11,14,0,0,0,0,0,0,0,0,0
11009,Female,Wolayta,Amharic,7,0,5,Amharic,174,13,Amharic,Amharic,19,79.16666412353516,Amharic,23,82.14286041259766,Amharic,1,-1.06,-1.18,-0.51,0,0,0,8,48,2,1,0,0,NA,1,3,4,1,13,0.7085469961166382,0.5256410241127014,1,0.6000000238418579,1,1,1,1,0,0,NA,NA,1,12,1,12,Addis Ababa,13,13,13,13,8,1,1,NA,0,0,0,0,0
11010,Female,Oromo,Amharic,7,1,6,Amharic,186,15,Amharic,Amharic,22,91.66666412353516,Amharic,20,71.42857360839844,Amharic,1,-1.02,-1.74,0.04,0,0,0,6,36,1,1,0,0,NA,1,3,4,1,3,0.5037037134170532,0.3611111044883728,0.75,0.4000000059604645,1,1,1,0,0,0,1,30,1,8,1,13,Addis Ababa,13,14,13,14,6,1,1,NA,1,NA,0,0,0
11011,Female,Tigrian,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.2600000000000002,-2.66,-0.72,1,1,0,0,37,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Addis Ababa,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0
11012,Female,Oromo,Afaan Oromo,7,0,7,Amharic,187,16,English,Amharic,21,87.5,English,24,85.71428680419922,Amharic,1,-1.05,-1.1300000000000001,-0.55,0,0,0,0,60,2,1,1,1,NA,1,3,4,1,6,0.5370370149612427,0.3611111044883728,0.75,0.5,1,1,1,0,0,1,4,88,0,0,NA,NA,Addis Ababa,14,14,14,14,0,0,0,0,0,0,0,0,0
11013,Male,Oromo,Amharic,7,1,6,Amharic,183,10,Amharic,Amharic,16,66.66666412353516,Amharic,15,53.57143020629883,Amharic,1,-0.27,0.06,-0.51,0,0,0,0,40,2,1,1,0,NA,1,3,4,1,5,0.4555555582046509,0.3166666626930237,0.75,0.30000001192092896,1,1,1,0,0,0,4,20,1,NA,NA,NA,Addis Ababa,13,13,13,13,0,NA,NA,NA,NA,NA,0,0,0
11014,Male,Gurage,Siltigna,2,1,7,Amharic,186,6,Amharic,Amharic,19,79.16666412353516,Amharic,19,67.85713958740234,Amharic,1,-2.67,-2,-1.96,1,0,0,0,35,2,1,0,0,NA,0,3,2,1,3,0.5870370268821716,0.3611111044883728,1,0.4000000059604645,1,1,1,1,0,0,4,15,1,0,1,9,Addis Ababa,9,10,9,10,0,0,NA,1,NA,1,0,0,0
11015,Male,Amhara,Amharic,7,1,9,Amharic,189,24,Amharic,Amharic,22,91.66666412353516,Amharic,21,75,Amharic,1,-2.19,-1.85,-1.4000000000000001,1,0,0,8,35,2,1,0,0,NA,0,3,1,1,3,0.6518518924713135,0.5555555820465088,1,0.4000000059604645,1,1,1,1,0,0,3,15,1,NA,NA,NA,Addis Ababa,9,9,9,9,8,NA,NA,NA,NA,NA,0,6,0.75
11016,Female,Oromo,Amharic,7,1,9,Amharic,154,5,English,Amharic,18,75,Amharic,18,64.28571319580078,Amharic,1,-0.87,-0.8300000000000001,-0.58,0,0,0,0,70,2,3,1,0,NA,1,3,4,1,4,0.625,0.375,1,0.5,1,1,1,1,0,1,4,10,1,12,1,10,Addis Ababa,10,12,10,12,0,1,NA,1,NA,1,0,0,0
11017,Male,Other,Amharic,2,1,6,Amharic,191,14,English,Amharic,20,83.33333587646484,English,24,85.71428680419922,Amharic,1,-1.1400000000000001,-0.97,-0.78,0,0,0,11,17,1,5,0,0,NA,1,3,4,1,7,0.6492063403129578,0.5476190447807312,1,0.4000000059604645,1,1,1,1,0,0,4,30,1,8,1,2,Addis Ababa,12,14,12,14,11,1,NA,1,0,0,0,0,0
11018,Male,Tigrian,Tigrigna,7,1,6,Amharic,181,4,English,Amharic,17,70.83333587646484,English,25,89.28571319580078,Amharic,1,-2.07,0.66,-4.24,1,0,2,7,32,2,1,0,0,NA,1,3,4,1,7,0.8484126925468445,0.8452380895614624,1,0.699999988079071,1,1,1,1,0,0,4,15,1,0,1,10,Addis Ababa,12,13,12,13,7,0,NA,1,NA,1,0,0,0
11019,Female,Amhara,Amharic,7,0,8,Amharic,167,11,English,Amharic,20,83.33333587646484,Amharic,23,82.14286041259766,Amharic,1,-1.8,-2.59,-0.2,0,1,0,0,40,2,1,1,0,NA,1,3,4,1,6,0.6018518805503845,0.5555555820465088,0.75,0.5,1,0,1,1,0,0,4,30,1,0,NA,NA,Addis Ababa,12,14,12,14,0,0,0,0,0,0,0,6,0.75
11020,Female,Gurage,Amharic,7,1,7,Amharic,180,0,Amharic,Amharic,15,62.5,Amharic,8,28.571428298950195,Amharic,1,-0.11,-0.49,0.21,0,0,0,8,21,2,7,0,0,NA,1,3,4,1,3,0.5018518567085266,0.3055555522441864,1,0.20000000298023224,1,1,1,1,0,0,NA,NA,1,NA,NA,NA,Addis Ababa,7,7,7,7,8,NA,NA,NA,NA,NA,0,0,0
11021,Female,Other,Amharic,2,0,6,Amharic,166,5,Amharic,Amharic,20,83.33333587646484,Amharic,20,71.42857360839844,Amharic,1,-1.5,-1.41,-0.92,0,0,0,0,35,2,1,1,0,NA,1,3,4,1,9,0.7061728239059448,0.5185185074806213,1,0.6000000238418579,1,1,1,1,0,0,1,25,1,7,1,13,Addis Ababa,14,14,14,14,0,1,1,NA,1,NA,0,0,0
11022,Male,Amhara,Amharic,7,0,8,Amharic,189,13,Amharic,Amharic,13,54.16666793823242,Amharic,15,53.57143020629883,Amharic,1,-1.02,-1.34,-0.24,0,0,0,0,54,2,3,1,0,NA,1,3,4,1,8,0.6472222208976746,0.5416666865348816,1,0.4000000059604645,1,1,1,1,0,0,NA,NA,1,0,1,9,Addis Ababa,8,8,8,8,0,0,NA,1,NA,1,0,6,0.75
11023,Female,Other,Siltigna,2,0,7,Amharic,46,0,NA,NA,NA,NA,NA,NA,NA,Amharic,1,-0.85,-0.84,-0.53,0,0,0,0,22,2,2,1,0,NA,0,2,2,1,9,0.5623456835746765,0.5370370149612427,0.75,0.4000000059604645,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,Addis Ababa,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
11024,Female,Tigrian,Amharic,7,1,6,Amharic,189,9,Amharic,Amharic,21,87.5,Amharic,22,78.57142639160156,Amharic,1,-0.5700000000000001,-2.05,0.85,0,1,0,3,44,2,1,0,0,NA,1,3,4,1,10,0.6333333253860474,0.550000011920929,0.75,0.6000000238418579,1,1,1,0,0,0,1,15,1,12,1,13,Addis Ababa,13,13,13,13,3,1,1,NA,1,NA,0,0,0
11025,Female,Other,Amharic,2,1,7,Amharic,173,6,Amharic,Amharic,18,75,Amharic,20,71.42857360839844,Amharic,1,-2.38,-1.47,-2.19,1,0,1,10,20,2,5,0,0,NA,0,2,4,1,10,0.6277778148651123,0.5333333611488342,0.75,0.6000000238418579,1,1,1,0,0,0,1,10,1,7,1,13,Addis Ababa,13,13,13,13,10,1,1,NA,1,NA,0,0,0
11026,Female,Amhara,Amharic,7,1,4,Amharic,181,7,Amharic,Amharic,14,58.33333206176758,Amharic,9,32.14285659790039,Amharic,1,0.18,0.52,-0.18,0,0,0,0,45,2,3,1,0,NA,1,3,4,1,5,0.605555534362793,0.3166666626930237,1,0.5,1,1,1,1,0,0,NA,NA,1,11,1,12,Addis Ababa,10,13,10,13,0,1,1,NA,0,0,0,6,0.75
11027,Female,Gurage,Amharic,7,1,7,Amharic,174,14,Amharic,Amharic,18,75,Amharic,19,67.85713958740234,Amharic,1,-2.13,-0.12,-3.35,1,0,2,3,27,2,1,0,1,NA,1,3,4,1,9,0.4395061731338501,0.26851850748062134,0.75,0.30000001192092896,1,1,1,0,0,1,1,25,1,11,1,13,Addis Ababa,13,13,13,13,3,1,1,NA,1,NA,0,0,0
11028,Male,Gurage,Amharic,7,1,8,Amharic,186,4,Amharic,Amharic,19,79.16666412353516,Amharic,17,60.71428680419922,Amharic,1,-1.09,0.64,-2.5500000000000003,0,0,1,0,37,2,1,1,0,NA,0,3,2,1,10,0.41111111640930176,0.28333333134651184,0.75,0.20000000298023224,1,1,1,0,0,0,NA,NA,1,9,1,13,Addis Ababa,9,9,9,9,0,1,1,NA,1,NA,0,0,0
11029,Female,Gurage,Amharic,2,0,6,Amharic,176,3,Amharic,Amharic,19,79.16666412353516,Amharic,13,46.42856979370117,Amharic,1,1.55,1.78,0.89,0,0,0,3,43,2,1,0,0,NA,1,3,4,1,6,0.5111110806465149,0.5833333134651184,0.75,0.20000000298023224,1,1,1,0,0,0,4,10,1,11,1,13,Addis Ababa,12,12,12,12,3,1,1,NA,1,NA,0,0,0
11030,Female,Amhara,Amharic,2,1,6,Amharic,181,5,Amharic,Amharic,17,70.83333587646484,Amharic,9,32.14285659790039,Amharic,1,-0.8300000000000001,0.59,-1.8800000000000001,0,0,0,3,44,2,4,0,0,NA,1,3,4,1,3,0.6203703880310059,0.3611111044883728,1,0.5,1,1,1,1,0,0,NA,NA,1,8,1,13,Addis Ababa,10,10,10,10,3,1,1,NA,1,NA,0,6,0.75
11031,Male,Tigrian,Amharic,2,1,9,Amharic,175,9,English,Amharic,17,70.83333587646484,English,16,57.14285659790039,Amharic,1,-2.5,-0.25,-3.94,1,0,2,5,35,2,1,0,0,NA,0,2,1,1,9,0.5456790328025818,0.28703704476356506,0.75,0.6000000238418579,1,1,1,0,0,0,4,20,1,0,NA,NA,Addis Ababa,10,14,10,14,5,0,0,0,0,0,0,0,0
11032,Female,Tigrian,Amharic,7,1,7,Amharic,174,13,Amharic,Amharic,17,70.83333587646484,Amharic,16,57.14285659790039,Amharic,1,-1.5,-1.34,-1,0,0,0,0,26,2,1,1,0,NA,1,3,4,1,7,0.5992063283920288,0.5476190447807312,0.75,0.5,1,1,1,0,0,0,NA,NA,1,0,NA,NA,Addis Ababa,13,13,13,13,0,0,0,0,0,0,0,0,0
11033,Male,Oromo,Amharic,2,1,7,Amharic,182,9,Amharic,Amharic,14,58.33333206176758,Amharic,11,39.28571319580078,Amharic,1,-1.8800000000000001,-0.96,-2,0,0,0,0,37,2,1,1,0,NA,0,2,2,1,7,0.591269850730896,0.523809552192688,0.75,0.5,1,1,1,0,0,0,NA,NA,1,10,1,12,Addis Ababa,6,6,6,6,0,1,1,NA,0,0,0,0,0
11034,Female,Gurage,Amharic,6,1,6,Amharic,157,3,Amharic,Amharic,18,75,Amharic,12,42.85714340209961,Amharic,1,-0.56,-0.46,-0.46,0,0,0,0,38,2,1,1,0,NA,1,3,4,1,4,0.4472222328186035,0.2916666567325592,0.75,0.30000001192092896,1,1,1,0,0,0,4,20,1,10,1,13,Addis Ababa,12,13,12,13,0,1,1,NA,1,NA,0,0,0
11035,Female,Gurage,Amharic,2,1,5,Amharic,182,4,Amharic,Amharic,21,87.5,Amharic,16,57.14285659790039,Amharic,1,-3.1,-2.23,-2.41,2,1,1,0,30,2,1,1,0,NA,0,3,2,1,2,0.3611111044883728,0.3333333432674408,0.75,0,1,1,1,0,0,0,NA,NA,1,NA,NA,NA,Addis Ababa,13,13,13,13,0,NA,NA,NA,NA,NA,0,0,0
11036,Female,Amhara,Amharic,7,1,6,Amharic,171,10,English,Amharic,23,95.83333587646484,Amharic,23,82.14286041259766,Amharic,1,-1.36,-2.2600000000000002,0.07,0,1,0,0,40,2,1,1,0,NA,1,3,4,1,8,0.6805555820465088,0.5416666865348816,1,0.5,1,1,1,1,0,1,NA,NA,1,NA,NA,NA,Addis Ababa,12,12,12,12,0,NA,NA,NA,NA,NA,0,6,0.75
11037,Male,Amhara,Amharic,7,1,7,Amharic,182,6,Amharic,Amharic,18,75,Amharic,22,78.57142639160156,Amharic,1,-0.59,-3.84,2.5300000000000002,0,2,0,4,40,2,1,0,0,NA,0,3,3,1,3,0.6203703880310059,0.6111111044883728,0.75,0.5,1,1,1,0,0,0,4,20,1,0,1,12,Addis Ababa,12,12,12,12,4,0,1,NA,0,0,0,6,0.75
11038,Female,Amhara,Amharic,7,1,8,Amharic,156,5,Amharic,Amharic,17,70.83333587646484,Amharic,11,39.28571319580078,Amharic,1,-3.4,-3.62,-1.23,2,2,0,6,40,2,1,0,0,NA,1,3,4,1,5,0.5722222328186035,0.5666666626930237,0.75,0.4000000059604645,1,1,1,0,0,0,4,20,1,0,NA,NA,Addis Ababa,9,11,9,11,6,0,0,0,0,0,0,6,0.75
11039,Male,Tigrian,Amharic,7,1,7,Amharic,176,6,Amharic,Amharic,17,70.83333587646484,Amharic,13,46.42856979370117,Amharic,1,-2.79,-1.8900000000000001,-2.31,1,0,1,0,35,2,1,1,0,NA,0,3,2,1,4,0.4138888716697693,0.2916666567325592,0.75,0.20000000298023224,1,1,1,0,0,0,4,30,1,11,1,13,Addis Ababa,13,13,13,13,0,1,1,NA,1,NA,0,0,0
11040,Male,Amhara,Amharic,7,1,8,Amharic,180,3,Amharic,Amharic,20,83.33333587646484,Amharic,19,67.85713958740234,Amharic,1,-1.33,-1.3800000000000001,-0.63,0,0,0,2,28,2,1,0,0,NA,1,3,4,1,6,0.635185182094574,0.3055555522441864,1,0.6000000238418579,1,1,1,1,0,0,NA,NA,1,3,1,10,Addis Ababa,8,8,8,8,2,1,NA,1,NA,1,0,6,0.75
11041,Male,Tigrian,Amharic,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,35,2,1,0,0,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,13,Addis Ababa,NA,NA,NA,NA,7,1,1,NA,1,NA,NA,0,0
11042,Female,Amhara,Amharic,7,0,5,Amharic,167,3,Amharic,Amharic,23,95.83333587646484,Amharic,12,42.85714340209961,Amharic,1,-1.58,-1.73,-0.72,0,0,0,12,35,2,5,0,0,NA,1,3,4,1,7,0.6738095283508301,0.3214285671710968,1,0.699999988079071,1,1,1,1,0,0,4,15,1,0,NA,NA,Addis Ababa,10,13,10,13,12,0,0,0,0,0,0,6,0.75
11043,Female,Gurage,Amharic,2,0,8,Amharic,151,4,Amharic,Amharic,16,66.66666412353516,Amharic,10,35.71428680419922,Amharic,1,-1.85,-0.15,-2.86,0,0,1,0,40,2,1,1,0,NA,1,3,4,1,7,0.5325396656990051,0.5476190447807312,0.75,0.30000001192092896,1,1,1,0,0,0,NA,NA,1,0,1,13,Addis Ababa,10,10,10,10,0,0,1,NA,1,NA,0,0,0
11044,Female,Gurage,Amharic,2,0,8,Amharic,180,3,Amharic,Amharic,16,66.66666412353516,Amharic,19,67.85713958740234,Amharic,1,-0.6900000000000001,0.1,-1.16,0,0,0,0,55,2,3,1,0,NA,1,3,4,1,9,0.42901232838630676,0.5370370149612427,0.75,0,1,1,1,0,0,0,NA,NA,1,NA,NA,NA,Addis Ababa,10,10,10,10,0,NA,NA,NA,NA,NA,0,0,0
11045,Female,Amhara,Amharic,7,0,7,Amharic,180,10,Amharic,Amharic,21,87.5,Amharic,19,67.85713958740234,Amharic,1,-2.05,-2.23,-0.88,1,1,0,3,32,2,1,0,0,NA,1,3,4,1,4,0.48055556416511536,0.2916666567325592,0.75,0.4000000059604645,1,1,1,0,0,0,4,15,0,0,NA,NA,Addis Ababa,14,14,14,14,3,0,0,0,0,0,0,6,0.75
11046,Male,Amhara,Amharic,7,1,7,Amharic,185,6,Amharic,Amharic,18,75,Amharic,14,50,Amharic,1,-3.8000000000000003,0.85,-6.83,2,0,NA,0,30,2,1,1,0,NA,1,3,4,1,5,0.6111111044883728,0.5333333611488342,1,0.30000001192092896,1,1,1,1,0,0,4,10,1,0,NA,NA,Addis Ababa,9,10,9,10,0,0,0,0,0,0,0,6,0.75
11047,Female,Amhara,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.6,0.29,-1.19,0,0,0,12,36,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Addis Ababa,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,0,0.75
11048,Male,Amhara,Amharic,7,0,3,Amharic,195,19,Amharic,Amharic,21,87.5,Amharic,26,92.85713958740234,Amharic,1,NA,NA,NA,NA,NA,NA,2,38,2,1,0,0,NA,1,3,4,1,7,0.632539689540863,0.2976190447807312,1,0.6000000238418579,1,1,1,1,0,0,4,30,1,0,1,9,Addis Ababa,14,14,14,14,2,0,NA,1,NA,1,0,6,0.75
11049,Female,Gurage,Amharic,2,1,6,Amharic,184,2,Amharic,Amharic,18,75,Amharic,17,60.71428680419922,Amharic,1,-2.08,0.97,-4.36,1,0,2,7,27,2,1,0,0,NA,0,3,3,1,6,0.6018518805503845,0.5555555820465088,0.75,0.5,1,1,1,0,0,0,4,30,1,NA,NA,NA,Addis Ababa,11,11,11,11,7,NA,NA,NA,NA,NA,0,0,0
11050,Male,Gurage,Amharic,2,1,6,Amharic,195,17,English,Amharic,22,91.66666412353516,Amharic,22,78.57142639160156,Amharic,1,0.11,0.8,-0.63,0,0,0,0,30,2,1,1,0,NA,1,3,4,1,7,0.7222222089767456,0.6666666865348816,1,0.5,1,1,1,1,0,1,4,15,1,NA,NA,NA,Addis Ababa,12,12,12,12,0,NA,NA,NA,NA,NA,0,0,0
